title,series,rating,language,genres,bookFormat,pages,publisher,awards,numRatings,ratingsByStars,likedPercent,setting,Year,Author,Rating,Num_Customers_Rated,Price
"The Boy, the Mole, the Fox and the Horse",,4.6,English,"['Fiction', 'Graphic Novels', 'Childrens', 'Art', 'Picture Books', 'Poetry', 'Philosophy', 'Animals', 'Self Help', 'Inspirational']",Hardcover,128,Ebury Press,[],33404,"['24526', '5883', '2014', '634', '347']",97.0,[],2020,Charlie Mackesy,4.8,37452,13.49
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,The Boys in The Boat,4.35,English,"['Nonfiction', 'History', 'Sports', 'Biography', 'Historical', 'Audiobook', 'Book Club', 'World War II', 'American History', 'Memoir']",Hardcover,404,Viking,"['James Tait Black Memorial Prize Nominee for Biography (2013)', ""Pennsylvania Young Readers' Choice Award Nominee for Young Adults (2017)"", 'Keystone to Reading Book Award Nominee for Middle School (2017)', 'William Saroyan International Prize for Writing Nominee for Nonfiction (2014)', 'Washington State Book Award for History/General Nonfiction (2014)', 'Andrew Carnegie Medal Nominee for Nonfiction (2014)', 'Goodreads Choice Award Nominee for History & Biography (2013)', 'Green Mountain Book Award Nominee (2016)']",222502,"['123705', '66345', '22645', '6013', '3794']",96.0,['Berlin (Germany)'],2014,Daniel James Brown,4.8,6742,10.94
"The Bully Pulpit: Theodore Roosevelt, William Howard Taft, and the Golden Age of Journalism",,4.14,English,"['History', 'Nonfiction', 'Biography', 'Politics', 'American History', 'Presidents', 'Audiobook', 'Biography Memoir', 'Journalism', 'Historical']",Hardcover,910,Simon & Schuster,"['Audie Award for History/Biography (2015)', 'Andrew Carnegie Medal for Nonfiction (2014)']",18145,"['7682', '6943', '2441', '626', '453']",94.0,[],2013,Doris Kearns Goodwin,4.6,2291,34.7
The Casual Vacancy,,3.3,English,"['Fiction', 'Contemporary', 'Mystery', 'Adult', 'Adult Fiction', 'Drama', 'Unfinished', 'British Literature', 'Novels', 'Audiobook']",Hardcover,503,"Little, Brown and Company",['Goodreads Choice Award for Fiction (2012)'],302889,"['50685', '90207', '89332', '44776', '27889']",76.0,['Pagford (United Kingdom)'],2012,J.K. Rowling,3.3,9729,16.95
The Catcher in the Rye,,3.81,English,"['Classics', 'Fiction', 'Young Adult', 'Literature', 'School', 'Novels', 'Coming Of Age', 'American', 'High School', 'Read For School']",Paperback,277,Back Bay Books,"['Teen Read Award Nominee for Best All-Time-Fave (2010)', 'National Book Award Finalist for Fiction (1952)']",2736523,"['937208', '846027', '579292', '234980', '139016']",86.0,"['New York City, New York (United States)', 'Agerstown, Pennsylvania (United States)']",2014,J.D. Salinger,4.5,14641,0.85
The Checklist Manifesto: How to Get Things Right,,4.05,,"['Nonfiction', 'Business', 'Medicine', 'Self Help', 'Productivity', 'Medical', 'Science', 'Psychology', 'Personal Development', 'Management']",Kindle Edition,225,,[],48512,"['17241', '19430', '9396', '1917', '528']",95.0,[],2010,Atul Gawande,4.6,3812,23.8
The Complete Ketogenic Diet for Beginners: Your Essential Guide to Living the Keto Lifestyle,,3.62,,"['Cookbooks', 'Nonfiction', 'Health', 'Cooking', 'Reference', 'Food', 'Self Help', 'Diets', 'Nutrition', 'Fitness']",Paperback,158,Rockridge Press,[],6159,"['1822', '1832', '1343', '651', '511']",81.0,[],2019,Amy Ramos,4.3,18251,6.99
The Day the Crayons Came Home,Crayons,4.39,English,"['Picture Books', 'Childrens', 'Humor', 'Fiction', 'Art', 'Fantasy', 'Storytime', 'Adventure', 'Kids', 'School']",Hardcover,48,Philomel Books,['Goodreads Choice Award for Picture Books (2015)'],13486,"['7738', '3935', '1340', '299', '174']",96.0,[],2015,Drew Daywalt,4.8,3189,12.02
The Day the Crayons Quit,Crayons,4.42,English,"['Picture Books', 'Childrens', 'Humor', 'Fiction', 'Art', 'Fantasy', 'Storytime', 'School', 'Kids', 'Juvenile']",Hardcover,30,Philomel Books,"[""Vermont's Picture Book Awards: Red Clover (2015)"", 'Texas Bluebonnet Award (2015)', 'Zilveren Griffel (2015)', 'South Carolina Book Award for Picture Book (2016)', ""Flicker Tale Children's Book Award for Picture Books (2015)"", 'Keystone to Reading Book Award for Primary (2015)', 'California Young Readers Medal for Primary (2016)', 'Wanda Gág Read Aloud Book Award (2014)', 'Monarch Award (2015)', 'Goodreads Choice Award for Picture Books (2013)', 'The Magnolia Award for K-2 (2015)', ""CBI Book of the Year for Children's Choice (2014)"", 'Hea Lasteraamat (2015)']",44747,"['27558', '11250', '3997', '1146', '796']",96.0,[],2015,Drew Daywalt,4.8,11431,9.19
The Fault in Our Stars,,4.21,English,"['Young Adult', 'Romance', 'Fiction', 'Contemporary', 'Realistic Fiction', 'Teen', 'Coming Of Age', 'Drama', 'Novels', 'Love']",Hardcover,313,Dutton Books,"['Georgia Peach Book Award (2013)', 'Buxtehuder Bulle (2012)', 'Odyssey Award (2013)', 'Audie Award for Teens (2013)', ""West Australian Young Readers' Book Award (WAYRBA) for Older Readers (2013)"", ""Pennsylvania Young Readers' Choice Award for Young Adults (2013)"", 'Rhode Island Teen Book Award (2014)', 'Evergreen Teen Book Award (2015)', 'Soaring Eagle Book Award (2014)', 'Milwaukee County Teen Book Award (2013)', 'Indies Choice Book Award for Young Adult (2013)', 'Deutscher Jugendliteraturpreis for Preis der Jugendjury (2013)', 'Amelia Elizabeth Walden Award (2013)', 'Dioraphte Jongerenliteratuurprijs for vertaald boek en publieksprijs (2013)', 'The Inky Awards for Silver Inky (2012)', 'California Young Readers Medal for Young Adult (2015)', 'Lincoln Award (2014)', 'Luisterboek Award (2015)', 'Goodreads Choice Award for Young Adult Fiction (2012) and Nominee for Best of the Best  (2018)', 'Green Mountain Book Award (2014)', 'The Inky Awards Shortlist for Silver Inky (2012)', ""Louisiana Teen Readers' Choice (2015)"", 'Missouri Gateway Readers Award (2015)', 'Oklahoma Sequoyah Award for High School (2015)', 'Alabama Author Award for Young Adult (2013)', 'Premio El Templo de las Mil Puertas for Mejor novela extranjera independiente (2012)', 'FAB Award Nominee (2014)', 'Premi Protagonista Jove for Categoria 15-16 anys (2013)']",3550714,"['1784471', '1022406', '512574', '150365', '80898']",93.0,"['Indianapolis, Indiana (United States)', 'Amsterdam (Netherlands)']",2012,John Green,4.7,52620,12.99
The Five Dysfunctions of a Team: A Leadership Fable,,4.06,English,"['Business', 'Leadership', 'Nonfiction', 'Management', 'Self Help', 'Buisness', 'Personal Development', 'Psychology', 'Entrepreneurship', 'Audiobook']",Hardcover,227,Jossey-Bass,[],79305,"['31349', '28676', '13991', '3349', '1940']",93.0,[],2014,Patrick Lencioni,4.6,3792,19.54
The Girl on the Train,,3.93,English,"['Fiction', 'Mystery', 'Thriller', 'Crime', 'Mystery Thriller', 'Suspense', 'Contemporary', 'Adult', 'Audiobook', 'Adult Fiction']",Hardcover,325,Riverhead Books,"['ITW Thriller Award Nominee for Best Hardcover Novel (2016)', 'Audie Award for Audiobook of the Year (2016)', 'Australian Book Industry Award (ABIA) Nominee for International Book (2016)', 'Goodreads Choice Award for Mystery & Thriller (2015)', 'Waterstones Book of the Year Nominee (2015)', ""Woman & Home Reader's Choice Award for Best Thriller Of The Year (2016)""]",2111336,"['689572', '802603', '444058', '123620', '51483']",92.0,"['London, England', 'England']",2016,Paula Hawkins,4.1,82328,0.25
The Giving Tree,,4.37,English,"['Childrens', 'Picture Books', 'Classics', 'Fiction', 'Poetry', 'Young Adult', 'Fantasy', 'Juvenile', 'Kids', 'Short Stories']",Hardcover,64,HarperCollins Publishers,[],905731,"['556142', '204347', '94819', '27950', '22473']",94.0,[],2017,Shel Silverstein,4.9,15066,1.64
The Grand Design,,4.04,English,"['Science', 'Nonfiction', 'Physics', 'Philosophy', 'Popular Science', 'Astronomy', 'Audiobook', 'Religion', 'History', 'Space']",Hardcover,199,Bantam,[],63503,"['24361', '23324', '11524', '2726', '1568']",93.0,[],2010,Stephen Hawking,4.4,2006,19.95
The Great Gatsby,,3.92,English,"['Classics', 'Fiction', 'School', 'Literature', 'Historical Fiction', 'Romance', 'Novels', 'Read For School', 'High School', 'American']",Paperback,200,Scribner,['Grammy Award Nominee for Best Spoken Word Album (2003)'],3775504,"['1345866', '1266424', '798955', '252115', '112144']",90.0,"['New York City, New York (United States)', 'New York State (United States)', 'Long Island, New York (United States)']",2012,F. Scott Fitzgerald,4.4,10819,8.74
The Greater Journey: Americans in Paris,,3.92,English,"['History', 'Nonfiction', 'France', 'Biography', 'American History', 'Travel', 'Art', 'Historical', 'Audiobook', '19th Century']",Hardcover,558,Simon & Schuster Adult Publishing Group,"['Andrew Carnegie Medal Nominee for Nonfiction (2012)', 'Marfield Prize (National Award for Arts Writing) Nominee (2011)', 'Goodreads Choice Award Nominee for History & Biography (2011)']",17862,"['5702', '6840', '3881', '1015', '424']",92.0,['France'],2011,David McCullough,4.5,1204,33.0
The Guernsey Literary and Potato Peel Pie Society,,4.17,English,"['Historical Fiction', 'Fiction', 'Historical', 'Romance', 'World War II', 'Book Club', 'War', 'Adult', 'Adult Fiction', 'Books About Books']",Paperback,291,Dial Press,"['Indies Choice Book Award for Best Indie Buzz Book (Fiction) (2009)', 'LovelyBooks Leserpreis Nominee for Allgemeine Literatur (2009)']",610392,"['266691', '220413', '91717', '22141', '9430']",95.0,"['United Kingdom', 'Guernsey']",2010,Mary Ann Shaffer,4.7,10026,0.94
The Handmaid's Tale,The Handmaid's Tale #1,4.11,English,"['Fiction', 'Classics', 'Dystopia', 'Science Fiction', 'Feminism', 'Fantasy', 'Adult', 'Audiobook', 'Literature', 'Novels']",Paperback,314,Anchor Books,"['Booker Prize Nominee (1986)', 'Nebula Award Nominee for Best Novel (1986)', 'Locus Award Nominee for Best SF Novel (1987)', 'Arthur C. Clarke Award (1987)', 'Audie Award for Fiction (2013)', 'Los Angeles Times Book Prize for Fiction (1986)', 'Prometheus Award Nominee for Best Novel (1987)', 'James Tiptree Jr. Award Nominee for Retrospective (1995)', ""Governor General's Literary Awards / Prix littéraires du Gouverneur général for Fiction (1985)"", 'SF Chronicle Award Nominee for Novel (1987)', ""Commonwealth Writers' Prize Nominee for Best Book in Caribbean and Canada (1987)"", 'CBC Canada Reads Nominee (2002)', 'Metų verstinė knyga Nominee (2012)']",1459245,"['616810', '517007', '227994', '64441', '32993']",93.0,"['Cambridge, Massachusetts (United States)', 'Republic of Gilead']",2018,Margaret Atwood,4.4,37046,7.99
The Harbinger: The Ancient Mystery that Holds the Secret of America's Future,The Harbinger #1,3.96,English,"['Christian', 'Fiction', 'Christian Fiction', 'Religion', 'Christianity', 'Mystery', 'Faith', 'Spirituality', 'Historical Fiction', 'Theology']",Paperback,262,Frontline,[],21572,"['9461', '5708', '3709', '1517', '1177']",88.0,[],2013,Jonathan Cahn,4.7,13690,2.25
The Hate U Give,The Hate U Give #1,4.52,English,"['Young Adult', 'Fiction', 'Contemporary', 'Audiobook', 'Realistic Fiction', 'Race', 'Social Justice', 'Teen', 'Young Adult Contemporary', 'African American']",Hardcover,444,Balzer + Bray,"[""National Book Award Nominee for Young People's Literature (2017)"", 'Odyssey Award (2018)', 'William C. Morris YA Debut Award (2018)', 'Los Angeles Times Book Prize Nominee for Young Adult Literature (2017)', 'Edgar Award Nominee for Best Young Adult (2018)', 'Michael L. Printz Award Nominee (2018)', 'Rhode Island Teen Book Award (2019)', 'Evergreen Teen Book Award Nominee for High School (2020)', 'Coretta Scott King Book Award Nominee for Author Honor (2018)', 'Deutscher Jugendliteraturpreis for Preis der Jugendjury (2018)', 'Amelia Elizabeth Walden Award (2018)', 'Boston Globe-Horn Book Award for Fiction (2017)', 'Lincoln Award (2019)', ""Waterstones Children's Book Prize for Overall and Older Fiction (2018)"", ""Kirkus Prize Nominee for Young Readers' Literature (2017)"", 'Goodreads Choice Award for Young Adult Fiction & for Debut Goodreads Author (2017) and for Best of the Best  (2018)', 'Carnegie Medal Nominee (2018)', 'NAACP Image Award Nominee for Youth/Teens (2018)']",503674,"['319950', '139056', '34099', '6668', '3901']",98.0,"['United States of America', 'Garden Heights']",2018,Angie Thomas,4.8,14315,8.65
The Help,,4.47,English,"['Fiction', 'Historical Fiction', 'Historical', 'Adult', 'Adult Fiction', 'Contemporary', 'Audiobook', 'Classics', 'Chick Lit', 'Book Club']",Hardcover,451,Amy Einhorn Books/G.P. Putnam's Sons,"['Orange Prize Nominee for Fiction Longlist (2010)', 'Audie Award for Fiction (2010)', 'Exclusive Books Boeke Prize (2009)', 'SIBA Book Award for Fiction (2010)', 'Indies Choice Book Award for Adult Debut (2010)', 'Puddly Award for Fiction (2011)', 'Lincoln Award Nominee (2013)', 'Grand Prix des lectrices de Elle for roman (2011)', 'Goodreads Choice Award for Fiction (2009) and Nominee for Best of the Best  (2018)', 'Townsend Prize for Fiction (2010)']",2164011,"['1300564', '636115', '176679', '34643', '16010']",98.0,"['Jackson, Mississippi (United States)', 'Jackson, Mississippi (United States)', 'Mississippi (United States)']",2011,Kathryn Stockett,4.8,14772,14.97
The Hunger Games,The Hunger Games #1,4.33,English,"['Young Adult', 'Fiction', 'Dystopia', 'Fantasy', 'Science Fiction', 'Romance', 'Adventure', 'Teen', 'Post Apocalyptic', 'Action']",Hardcover,374,Scholastic Press,"['Locus Award Nominee for Best Young Adult Book (2009)', 'Georgia Peach Book Award (2009)', 'Buxtehuder Bulle (2009)', 'Golden Duck Award for Young Adult (Hal Clement Award) (2009)', ""Grand Prix de l'Imaginaire Nominee for Roman jeunesse étranger (2010)"", 'Books I Loved Best Yearly (BILBY) Awards for Older Readers (2012)', ""West Australian Young Readers' Book Award (WAYRBA) for Older Readers (2010)"", ""Red House Children's Book Award for Older Readers & Overall (2010)"", 'South Carolina Book Award for Junior and Young Adult Book (2011)', 'Charlotte Award (2010)', 'Colorado Blue Spruce Young Adult Book Award (2010)', 'Teen Buckeye Book Award (2009)', ""Pennsylvania Young Readers' Choice Award for Young Adults (2010)"", 'Rhode Island Teen Book Award (2010)', ""Dorothy Canfield Fisher Children's Book Award (2010)"", 'Evergreen Teen Book Award (2011)', 'Soaring Eagle Book Award (2009)', 'Milwaukee County Teen Book Award Nominee (2010)', 'Sakura Medal for Middle School Book (2010)', 'Michigan Library Association Thumbs Up! Award (2009)', 'Florida Teens Read (2009)', 'Deutscher Jugendliteraturpreis for Preis der Jugendjury (2010)', 'Iowa High School Book Award (2011)', 'New Mexico Land of Enchantment Award for Young Adult (2011)', 'Eliot Rosewater Indiana High School Book Award (2010)', 'The Inky Awards for Silver Inky (2009)', 'California Young Readers Medal for Young Adult (2011)', 'Lincoln Award (2011)', 'Kinderboekwinkelprijs (2010)', 'Missouri Truman Readers Award (2011)', 'CYBILS Award for Young Adult Fantasy & Science Fiction (2008)', 'Literaturpreis der Jury der jungen Leser for Jugendbuch (2010)', 'The Inky Awards Shortlist for Silver Inky (2009)', 'Prix Et-lisez-moi (2011)', 'Missouri Gateway Readers Award (2011)', 'Oklahoma Sequoyah Award for High School and Intermediate (2011)', 'Premio El Templo de las Mil Puertas for Mejor novela extranjera perteneciente a saga (2009)', ""Rebecca Caudill Young Readers' Book Award (2011)"", 'LovelyBooks Leserpreis for Fantasy (2009)', 'LovelyBooks Leserpreis for Bestes Cover/Umschlag (2009)', 'Premi Protagonista Jove for Categoria 13-14 anys (2010)']",6376780,"['3444695', '1921313', '745221', '171994', '93557']",96.0,"['District 12, Panem', 'Capitol, Panem', 'Panem (United States)']",2010,Suzanne Collins,4.7,34030,9.96
The Immortal Life of Henrietta Lacks,,4.07,English,"['Nonfiction', 'Science', 'History', 'Biography', 'Medicine', 'Audiobook', 'Book Club', 'Medical', 'Biography Memoir', 'Historical']",Hardcover,370,Crown Publishing Group,"['Ambassador Book Award for American Studies (2011)', 'Audie Award for Nonfiction (2011)', 'Chicago Tribune Heartland Prize for Nonfiction (2010)', 'Wellcome Book Prize (2010)', 'Puddly Award for Nonfiction (2011)', 'Goodreads Choice Award for  Nonfiction and Debut Author and Nominee for Favorite Book (2010)', 'AAAS/Subaru SB&F Prize for Excellence in Science Books for Young Adult Science Book (2011)']",587187,"['238511', '210677', '94444', '25799', '17756']",93.0,"['Baltimore, Maryland (United States)', 'Clover, Virginia (United States)']",2013,Rebecca Skloot,4.7,11370,0.94
The Invention of Hugo Cabret,,4.22,English,"['Historical Fiction', 'Fiction', 'Young Adult', 'Childrens', 'Graphic Novels', 'Middle Grade', 'Fantasy', 'Mystery', 'Historical', 'Picture Books']",Hardcover,533,Scholastic Press,"['Caldecott Medal (2008)', ""Book Sense Book of the Year Award for Children's Literature (2008)"", ""Flicker Tale Children's Book Award (2009)"", ""Dorothy Canfield Fisher Children's Book Award Nominee (2009)"", 'Deutscher Jugendliteraturpreis Nominee for Kinderbuch (2009)', ""Iowa Children's Choice Award (2010)"", ""Boston Author's Club Young Reader Award (2008)"", ""NAIBA Book of the Year for Children's Literature (2007)"", ""National Book Award Finalist for Young People's Literature (2007)"", ""Rebecca Caudill Young Readers' Book Award Nominee (2009)"", 'لاک\u200cپشت پرنده for نشان طلایی (2012)']",162904,"['77330', '54165', '23792', '5289', '2328']",95.0,['Paris (France)'],2011,Brian Selznick,4.8,1778,17.29
The Invention of Wings,,4.24,English,"['Historical Fiction', 'Fiction', 'Historical', 'Book Club', 'Audiobook', 'Adult Fiction', 'Adult', 'Novels', 'African American', 'Southern']",Hardcover,384,Viking,"['Florida Book Award for General Fiction - Gold (2014)', 'Goodreads Choice Award Nominee for Historical Fiction (2014)', 'International Dublin Literary Award Nominee (2016)']",263623,"['114842', '107431', '33773', '5446', '2131']",97.0,"['Charleston, South Carolina (United States)']",2014,Sue Monk Kidd,4.7,15174,20.98
The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,Magic Cleaning #1,3.84,English,"['Nonfiction', 'Self Help', 'Audiobook', 'Personal Development', 'Psychology', 'Japan', 'How To', 'Adult', 'Productivity', 'Reference']",Hardcover,213,Ten Speed Press,[],279060,"['87635', '96062', '67288', '20499', '7576']",90.0,[],2015,Marie Kondō,4.5,24520,0.94
The Litigators,,3.81,English,"['Fiction', 'Thriller', 'Mystery', 'Legal Thriller', 'Crime', 'Audiobook', 'Suspense', 'Mystery Thriller', 'Law', 'Adult Fiction']",Audio,,Random House Audio,[],64275,"['14854', '27176', '18148', '3411', '686']",94.0,"['Chicago, Illinois (United States)']",2011,John Grisham,4.4,6870,16.71
The Longest Ride,,4.15,English,"['Romance', 'Fiction', 'Chick Lit', 'Contemporary', 'Adult', 'Audiobook', 'Adult Fiction', 'Contemporary Romance', 'Drama', 'Realistic Fiction']",Hardcover,398,Grand Central Publishing,"['Audie Award for Romance (2014)', 'Goodreads Choice Award Nominee for Romance (2013)']",112204,"['47929', '39691', '19095', '4208', '1281']",95.0,[],2013,Nicholas Sparks,4.6,11311,22.26
The Magnolia Story,,4.19,English,"['Nonfiction', 'Biography', 'Memoir', 'Audiobook', 'Autobiography', 'Biography Memoir', 'Christian', 'Adult', 'Inspirational', 'Business']",Kindle Edition,208,Thomas Nelson,[],82243,"['39383', '26476', '11133', '2957', '2294']",94.0,[],2016,Chip Gaines,4.8,8634,13.46
The Martian,The Martian #1,4.4,English,"['Science Fiction', 'Fiction', 'Audiobook', 'Adventure', 'Space', 'Adult', 'Science Fiction Fantasy', 'Thriller', 'Humor', 'Survival']",Hardcover,384,Crown,"['Kurd-Laßwitz-Preis for Bestes ausländisches Werk (2015)', 'John W. Campbell Memorial Award Nominee for Best Science Fiction Novel (2015)', 'ITW Thriller Award Nominee for Best First Novel (2015)', 'Audie Award for Science Fiction (2015)', 'ALA Alex Award (2015)', 'Premio Ignotus for Mejor novela extranjera (Best Foreign Novel) (2015)', '本屋大賞 Nominee for Translated Fiction (2015)', 'Goodreads Choice Award for Science Fiction & Nominee for Debut Goodreads Author (2014) and Nominee for Best of the Best  (2018)', 'Green Mountain Book Award Nominee (2016)', 'Seiun Award 星雲賞 for Best Foreign Novel (2015)']",817411,"['458260', '260529', '74433', '16902', '7287']",97.0,"['Mars', 'Houston, Texas (United States)']",2015,Andy Weir,4.7,41268,0.94
The Omnivore's Dilemma: A Natural History of Four Meals,,4.17,English,"['Nonfiction', 'Food', 'Science', 'Health', 'History', 'Nutrition', 'Environment', 'Cooking', 'Audiobook', 'Politics']",Hardcover,450,The Penguin Press,"['California Book Award for Nonfiction (Gold) (2006)', 'Orion Book Award Nominee (2007)', 'National Book Critics Circle Award Nominee for General Nonfiction (2006)']",182235,"['76966', '70543', '26440', '5787', '2499']",95.0,[],2010,Michael Pollan,4.6,2534,0.94
The One and Only Ivan,The One and Only Ivan #1,4.25,English,"['Middle Grade', 'Fiction', 'Animals', 'Childrens', 'Young Adult', 'Fantasy', 'Juvenile', 'Audiobook', 'Realistic Fiction', 'Chapter Books']",Hardcover,307,HarperCollins,"['Newbery Medal (2013)', 'California Book Award for Juvenile (Gold) (2012)', ""Pennsylvania Young Readers' Choice Award for Grades 3-6 (2014)"", ""Dorothy Canfield Fisher Children's Book Award Nominee (2014)"", ""Charlie May Simon Children's Book Award Nominee (2015)"", 'Bluestem Book Award (2015)', ""Goodreads Choice Award Nominee for Middle Grade & Children's (2012)"", 'SCBWI Crystal Kite Member Choice Award for California/Hawaii (2013)', 'Oklahoma Sequoyah Award for Children (2015)', ""Rebecca Caudill Young Readers' Book Award Nominee (2015)""]",140986,"['73602', '41450', '16858', '5095', '3981']",94.0,[],2013,Katherine Applegate,4.8,11779,13.7
The Outsiders,,4.1,English,"['Classics', 'Young Adult', 'Fiction', 'School', 'Realistic Fiction', 'Read For School', 'Coming Of Age', 'Historical Fiction', 'Contemporary', 'Teen']",Mass Market Paperback,192,Puffin Books (US/CAN),"['Books I Loved Best Yearly (BILBY) Awards for Secondary  (1991)', 'Margaret A. Edwards Award (1988)']",938150,"['396850', '309135', '173456', '44305', '14404']",94.0,"['Tulsa, Oklahoma (United States)']",2016,S. E. Hinton,4.8,14743,5.89
The Perks of Being a Wallflower,,4.2,English,"['Young Adult', 'Fiction', 'Contemporary', 'Coming Of Age', 'Romance', 'Realistic Fiction', 'LGBT', 'Classics', 'Mental Health', 'Teen']",Paperback,213,MTV Books/Pocket Books,[],1250155,"['599617', '392068', '188162', '50631', '19677']",94.0,"['Pittsburgh, Pennsylvania (United States)']",2013,Stephen Chbosky,4.7,13820,0.94
The Pioneers: The Heroic Story of the Settlers Who Brought the American Ideal West,,3.76,English,"['History', 'Nonfiction', 'American History', 'Audiobook', 'Historical', 'Biography', 'Adventure', 'Westerns', 'Adult', '19th Century']",Kindle Edition,352,Simon & Schuster,['Goodreads Choice Award Nominee for History & Biography (2019)'],13749,"['3197', '5491', '3949', '828', '284']",92.0,"['Ohio (United States)', 'Indiana (United States)', 'Michigan (United States)', 'Illinois (United States)', 'Wisconsin (United States)']",2019,David McCullough,4.5,4192,18.93
The Power of Habit: Why We Do What We Do in Life and Business,,4.1,English,"['Nonfiction', 'Psychology', 'Self Help', 'Business', 'Personal Development', 'Productivity', 'Science', 'Audiobook', 'Leadership', 'Sociology']",Hardcover,375,Random House,"['Financial Times and McKinsey Business Book of the Year Nominee for Longlist (2012)', 'Goodreads Choice Award Nominee for Nonfiction (2012)']",343452,"['137742', '128611', '58483', '12468', '6148']",95.0,[],2013,Charles Duhigg,4.6,13094,19.47
The Racketeer,,3.83,English,"['Fiction', 'Mystery', 'Thriller', 'Crime', 'Legal Thriller', 'Suspense', 'Mystery Thriller', 'Audiobook', 'Novels', 'Drama']",Hardcover,340,Doubleday,[],88545,"['22552', '36329', '23026', '5250', '1388']",93.0,"['Roanoke, Virginia (United States)', 'Frostburg, Maryland (United States)', 'Florida (United States)', 'Antigua (Antigua and Barbuda)']",2012,John Grisham,4.3,15885,22.17
The Reason I Jump: The Inner Voice of a Thirteen-Year-Old Boy with Autism,,3.82,English,"['Nonfiction', 'Memoir', 'Psychology', 'Biography', 'Biography Memoir', 'Japan', 'Autobiography', 'Mental Health', 'Education', 'Japanese Literature']",Hardcover,135,Random House,['Goodreads Choice Award Nominee for Memoir & Autobiography (2013)'],42665,"['12535', '15186', '10776', '3053', '1115']",90.0,[],2013,Naoki Higashida,4.6,4716,15.26
The Road Back to You: An Enneagram Journey to Self-Discovery,,4.26,English,"['Nonfiction', 'Self Help', 'Psychology', 'Christian', 'Personal Development', 'Spirituality', 'Audiobook', 'Faith', 'Religion', 'Leadership']",Hardcover,238,IVP Books,[],29065,"['13530', '10953', '3495', '670', '417']",96.0,[],2019,Ian Morgan Cron,4.7,5900,14.35
The Road to Character,,3.67,English,"['Nonfiction', 'Philosophy', 'Psychology', 'Self Help', 'Biography', 'Leadership', 'Personal Development', 'History', 'Business', 'Audiobook']",Hardcover,320,Random House,['Goodreads Choice Award Nominee for Nonfiction (2015)'],19347,"['4941', '6459', '5286', '1888', '773']",86.0,[],2015,David Brooks,4.4,2373,0.99
The Rooster Bar,,3.62,English,"['Fiction', 'Mystery', 'Thriller', 'Audiobook', 'Legal Thriller', 'Crime', 'Suspense', 'Mystery Thriller', 'Contemporary', 'Law']",Hardcover,368,Doubleday,[],74510,"['16897', '25184', '22372', '7355', '2702']",87.0,[],2017,John Grisham,4.1,10093,1.15
The Silent Patient,,4.09,English,"['Mystery', 'Thriller', 'Fiction', 'Mystery Thriller', 'Audiobook', 'Suspense', 'Crime', 'Adult', 'Psychological Thriller', 'Contemporary']",Hardcover,325,Celadon Books,['Goodreads Choice Award for Mystery & Thriller and Nominee for Debut Novel (2019)'],507237,"['192006', '202843', '86249', '19365', '6774']",95.0,"['London, England']",2019,Alex Michaelides,4.5,50122,10.4
"The Social Animal: The Hidden Sources of Love, Character, and Achievement",,3.86,English,"['Nonfiction', 'Psychology', 'Sociology', 'Science', 'Philosophy', 'Self Help', 'Social Science', 'Audiobook', 'Politics', 'Business']",Hardcover,424,Random House,"['Andrew Carnegie Medal Nominee for Nonfiction (2012)', 'Goodreads Choice Award Nominee for Nonfiction (2011)']",21213,"['6542', '7674', '4971', '1512', '514']",90.0,[],2011,David Brooks,4.3,684,21.53
"The Splendid and the Vile: A Saga of Churchill, Family, and Defiance During the Blitz",,4.23,,"['History', 'Nonfiction', 'Biography', 'World War II', 'War', 'Audiobook', 'Historical', 'Politics', 'British Literature', 'Biography Memoir']",Kindle Edition,464,Crown,[],42480,"['19726', '15837', '4884', '1205', '828']",95.0,"['Buckinghamshire, England (United Kingdom)', 'Oxfordshire, England', 'London, England']",2020,Erik Larson,4.7,11733,14.77
The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life,,3.94,English,"['Nonfiction', 'Self Help', 'Psychology', 'Audiobook', 'Personal Development', 'Philosophy', 'Business', 'Humor', 'Adult', 'Unfinished']",ebook,224,Harper,[],529645,"['193399', '178900', '105988', '34536', '16822']",90.0,[],2020,Mark Manson,4.6,37407,15.8
The Sun and Her Flowers,,4.16,English,"['Poetry', 'Feminism', 'Nonfiction', 'Adult', 'Contemporary', 'Romance', 'Mental Health', 'Canada', 'Womens', 'Love']",Paperback,256,Andrews McMeel Publishing,['Goodreads Choice Award for Poetry (2017)'],142061,"['68045', '42037', '21739', '6642', '3598']",93.0,[],2017,Rupi Kaur,4.8,8177,8.75
The Tipping Point: How Little Things Can Make a Big Difference,,3.97,English,"['Nonfiction', 'Business', 'Psychology', 'Sociology', 'Science', 'Self Help', 'Economics', 'Audiobook', 'Leadership', 'Philosophy']",Paperback,301,Back Bay Books,[],689776,"['245885', '254161', '136187', '33268', '20275']",92.0,[],2011,Malcolm Gladwell,4.4,3965,0.94
